baksa,barpeta,bongaigaon,cachar,chirang,darrang,dhemaji,dhubri,dibrugarh,dima_hasao,goalpara,golaghat,hailakandi,jorhat,kamrup,kamrup_metro,karbi_anglong,karimganj,kokrajhar,lakhimpur,morigaon,nagaon,nalbari,sivsagar,sonitpur,tinsukia,udalguri,y97temp,y97mtemp,y97rain,y97area,y97yield,y98temp,y98mtemp,y98rain,y98area,y98yield,y99temp,y99mtemp,y99rain,y99area,y99yield,y00temp,y00mtemp,y00rain,y00area,y00yield,y01temp,y01mtemp,y01rain,y01area,y01yield,y02temp,y02mtemp,y02rain,y02area,y02yield,y03temp,y03mtemp,y03rain,y03area,y03yield,y04temp,y04mtemp,y04rain,y04area,y04yield,y05temp,y05mtemp,y05rain,y05area,y05yield,y06temp,y06mtemp,y06rain,y06area,y06yield,y07temp,y07mtemp,y07rain,y07area,y07yield,y08temp,y08mtemp,y08rain,y08area,y08yield,y09temp,y09mtemp,y09rain,y09area,y09yield,y10temp,y10mtemp,y10rain,y10area,y10yield,y11temp,y11mtemp,y11rain,y11area,y11yield,y12temp,y12mtemp,y12rain,y12area,y12yield,y13temp,y13mtemp,y13rain,y13area,y13yield,y14temp,y14mtemp,y14rain,y14area,y14yield
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,,,19.84,29.7,3072.9,,,19.53,29.81,2913.2,,,19.48,29.75,2729.3,,,19.49,29.99,2260.1,,,19.78,30.23,2530.4,,,19.7,29.75,2835.1,,,19.69,29.79,2890.9,,,19.58,29.6,2314.8,95962,125729,20.07,30.06,1777.4,91167,116814,19.69,29.84,2414.6,87233,107853,19.6,29.64,2271.2,94794,164203,19.94,30.3,1863,92194,147707,20.15,30.13,2498.7,101730,160856,19.58,29.82,1758.3,98275,173084,19.54,29.81,2321.3,99785,179782,19.83,29.81,1682.6,98680,184041,19.77,29.72,2171.9,99920,219819
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,195425,132932,19.84,29.7,3072.9,188825,172587,19.53,29.81,2913.2,206842,239123,19.48,29.75,2729.3,195855,239328,19.49,29.99,2260.1,172492,199234,19.78,30.23,2530.4,179225,185010,19.7,29.75,2835.1,175650,208520,19.69,29.79,2890.9,142630,115615,19.58,29.6,2314.8,118152,135634,20.07,30.06,1777.4,111890,114291,19.69,29.84,2414.6,104214,119575,19.6,29.64,2271.2,164341,221521,19.94,30.3,1863,172062,266545,20.15,30.13,2498.7,165743,314231,19.58,29.82,1758.3,157976,298526,19.54,29.81,2321.3,125864,271472,19.83,29.81,1682.6,134698,298014,19.77,29.72,2171.9,135966,262510
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,92721,58114,19.84,29.7,3072.9,96263,91909,19.53,29.81,2913.2,98974,98374,19.48,29.75,2729.3,100713,103954,19.49,29.99,2260.1,101068,113542,19.78,30.23,2530.4,102917,123465,19.7,29.75,2835.1,102626,119231,19.69,29.79,2890.9,102834,109700,19.58,29.6,2314.8,76514,87602,20.07,30.06,1777.4,63552,60208,19.69,29.84,2414.6,66049,69578,19.6,29.64,2271.2,68440,82724,19.94,30.3,1863,65231,76907,20.15,30.13,2498.7,61628,100581,19.58,29.82,1758.3,62665,97778,19.54,29.81,2321.3,59593,105924,19.83,29.81,1682.6,56781,122486,19.77,29.72,2171.9,52849,115939
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,103478,110049,19.84,29.7,3072.9,102941,202758,19.53,29.81,2913.2,103464,181850,19.48,29.75,2729.3,104000,221685,19.49,29.99,2260.1,102093,224744,19.78,30.23,2530.4,105120,220058,19.7,29.75,2835.1,109196,234639,19.69,29.79,2890.9,103132,165442,19.58,29.6,2314.8,109866,218792,20.07,30.06,1777.4,101578,165560,19.69,29.84,2414.6,99652,98783,19.6,29.64,2271.2,111520,234645,19.94,30.3,1863,110260,226989,20.15,30.13,2498.7,104599,225323,19.58,29.82,1758.3,106372,206068,19.54,29.81,2321.3,107139,232979,19.83,29.81,1682.6,96477,176287,19.77,29.72,2171.9,107882,245893
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,,,19.84,29.7,3072.9,,,19.53,29.81,2913.2,,,19.48,29.75,2729.3,,,19.49,29.99,2260.1,,,19.78,30.23,2530.4,,,19.7,29.75,2835.1,,,19.69,29.79,2890.9,,,19.58,29.6,2314.8,43114,49402,20.07,30.06,1777.4,51482,63413,19.69,29.84,2414.6,53633,51782,19.6,29.64,2271.2,51381,49147,19.94,30.3,1863,51796,69505,20.15,30.13,2498.7,52825,77487,19.58,29.82,1758.3,51099,60697,19.54,29.81,2321.3,57160,83505,19.83,29.81,1682.6,46856,75939,19.77,29.72,2171.9,45525,72856
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,169682,119593,19.84,29.7,3072.9,158886,174233,19.53,29.81,2913.2,186576,210079,19.48,29.75,2729.3,200833,248055,19.49,29.99,2260.1,188190,268033,19.78,30.23,2530.4,170537,205562,19.7,29.75,2835.1,156616,215359,19.69,29.79,2890.9,144886,156152,19.58,29.6,2314.8,75166,108846,20.07,30.06,1777.4,50338,67911,19.69,29.84,2414.6,58689,96660,19.6,29.64,2271.2,79653,144653,19.94,30.3,1863,79356,129879,20.15,30.13,2498.7,85301,188325,19.58,29.82,1758.3,79722,181473,19.54,29.81,2321.3,76278,179283,19.83,29.81,1682.6,69689,161316,19.77,29.72,2171.9,69073,173092
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,62000,48090,19.84,29.7,3072.9,51073,57930,19.53,29.81,2913.2,71931,95753,19.48,29.75,2729.3,72174,100739,19.49,29.99,2260.1,72257,90844,19.78,30.23,2530.4,70460,76623,19.7,29.75,2835.1,71802,75434,19.69,29.79,2890.9,74392,78789,19.58,29.6,2314.8,82678,90504,20.07,30.06,1777.4,77750,93509,19.69,29.84,2414.6,74409,94174,19.6,29.64,2271.2,72185,74382,19.94,30.3,1863,71937,92968,20.15,30.13,2498.7,76957,98711,19.58,29.82,1758.3,78742,107585,19.54,29.81,2321.3,79995,127930,19.83,29.81,1682.6,82350,129145,19.77,29.72,2171.9,85539,131692
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,134712,75192,19.84,29.7,3072.9,134991,138898,19.53,29.81,2913.2,151677,220447,19.48,29.75,2729.3,132572,194721,19.49,29.99,2260.1,131011,196143,19.78,30.23,2530.4,128915,200019,19.7,29.75,2835.1,125891,190485,19.69,29.79,2890.9,105963,164417,19.58,29.6,2314.8,93273,145804,20.07,30.06,1777.4,88963,150997,19.69,29.84,2414.6,89125,160696,19.6,29.64,2271.2,99303,171166,19.94,30.3,1863,95928,162274,20.15,30.13,2498.7,94785,227100,19.58,29.82,1758.3,92580,225084,19.54,29.81,2321.3,92948,249028,19.83,29.81,1682.6,86604,236285,19.77,29.72,2171.9,86058,236461
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,88218,102958,19.84,29.7,3072.9,84628,130295,19.53,29.81,2913.2,85075,134783,19.48,29.75,2729.3,87161,154011,19.49,29.99,2260.1,86053,134984,19.78,30.23,2530.4,863990,126663,19.7,29.75,2835.1,83683,150028,19.69,29.79,2890.9,82800,148147,19.58,29.6,2314.8,79786,127191,20.07,30.06,1777.4,71929,111046,19.69,29.84,2414.6,58846,93732,19.6,29.64,2271.2,70544,135347,19.94,30.3,1863,75014,154935,20.15,30.13,2498.7,76097,162958,19.58,29.82,1758.3,77409,105259,19.54,29.81,2321.3,77587,161327,19.83,29.81,1682.6,78070,148054,19.77,29.72,2171.9,74728,129091
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,14153,16061,19.84,29.7,3072.9,11860,19709,19.53,29.81,2913.2,13829,22345,19.48,29.75,2729.3,13945,22016,19.49,29.99,2260.1,14046,24126,19.78,30.23,2530.4,14447,24492,19.7,29.75,2835.1,12825,19424,19.69,29.79,2890.9,14398,24571,19.58,29.6,2314.8,14488,24509,20.07,30.06,1777.4,13988,18554,19.69,29.84,2414.6,14531,26725,19.6,29.64,2271.2,14539,25593,19.94,30.3,1863,15978,28871,20.15,30.13,2498.7,15247,21664,19.58,29.82,1758.3,15570,36087,19.54,29.81,2321.3,16193,36958,19.83,29.81,1682.6,15823,31837,19.77,29.72,2171.9,14700,34511
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,71716,59203,19.84,29.7,3072.9,67479,91574,19.53,29.81,2913.2,71166,107295,19.48,29.75,2729.3,70212,115470,19.49,29.99,2260.1,73292,120105,19.78,30.23,2530.4,72316,120688,19.7,29.75,2835.1,72635,103438,19.69,29.79,2890.9,71377,105924,19.58,29.6,2314.8,77696,118630,20.07,30.06,1777.4,72213,100743,19.69,29.84,2414.6,78400,124885,19.6,29.64,2271.2,83310,149644,19.94,30.3,1863,81708,140304,20.15,30.13,2498.7,83139,196858,19.58,29.82,1758.3,76690,144464,19.54,29.81,2321.3,82610,184895,19.83,29.81,1682.6,83159,208282,19.77,29.72,2171.9,84268,193831
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,82205,104159,19.84,29.7,3072.9,82324,145127,19.53,29.81,2913.2,85188,155231,19.48,29.75,2729.3,90284,176433,19.49,29.99,2260.1,83394,167688,19.78,30.23,2530.4,85618,175087,19.7,29.75,2835.1,85996,183864,19.69,29.79,2890.9,83405,167358,19.58,29.6,2314.8,80328,156065,20.07,30.06,1777.4,62786,100871,19.69,29.84,2414.6,79269,151322,19.6,29.64,2271.2,80040,156309,19.94,30.3,1863,106706,221921,20.15,30.13,2498.7,109515,246271,19.58,29.82,1758.3,108035,231090,19.54,29.81,2321.3,123929,290319,19.83,29.81,1682.6,124151,295077,19.77,29.72,2171.9,123624,276255
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,42750,45277,19.84,29.7,3072.9,42400,65527,19.53,29.81,2913.2,45000,67356,19.48,29.75,2729.3,44500,79685,19.49,29.99,2260.1,47500,93385,19.78,30.23,2530.4,47000,98548,19.7,29.75,2835.1,47100,101827,19.69,29.79,2890.9,46510,97231,19.58,29.6,2314.8,46800,91223,20.07,30.06,1777.4,42550,83414,19.69,29.84,2414.6,47160,92378,19.6,29.64,2271.2,49856,115628,19.94,30.3,1863,47009,117009,20.15,30.13,2498.7,48073,108459,19.58,29.82,1758.3,50600,112205,19.54,29.81,2321.3,45600,111649,19.83,29.81,1682.6,46675,113866,19.77,29.72,2171.9,45343,126300
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,99180,101761,19.84,29.7,3072.9,81530,138183,19.53,29.81,2913.2,111015,193710,19.48,29.75,2729.3,91743,164625,19.49,29.99,2260.1,98929,168128,19.78,30.23,2530.4,77850,122180,19.7,29.75,2835.1,85198,143567,19.69,29.79,2890.9,81541,134669,19.58,29.6,2314.8,88199,140837,20.07,30.06,1777.4,75116,86589,19.69,29.84,2414.6,86584,116115,19.6,29.64,2271.2,86852,137020,19.94,30.3,1863,97045,188179,20.15,30.13,2498.7,92814,181879,19.58,29.82,1758.3,92745,168045,19.54,29.81,2321.3,80317,176264,19.83,29.81,1682.6,94111,188725,19.77,29.72,2171.9,91893,176550
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,177797,174299,19.84,29.7,3072.9,173918,225327,19.53,29.81,2913.2,169214,240170,19.48,29.75,2729.3,178861,269231,19.49,29.99,2260.1,171962,264256,19.78,30.23,2530.4,168885,245330,19.7,29.75,2835.1,164976,256677,19.69,29.79,2890.9,146171,221275,19.58,29.6,2314.8,124354,211314,20.07,30.06,1777.4,90175,137976,19.69,29.84,2414.6,118239,218431,19.6,29.64,2271.2,122238,227971,19.94,30.3,1863,118408,228253,20.15,30.13,2498.7,118873,280425,19.58,29.82,1758.3,122730,235864,19.54,29.81,2321.3,116838,238027,19.83,29.81,1682.6,121339,274260,19.77,29.72,2171.9,113627,260897
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,,,19.84,29.7,3072.9,,,19.53,29.81,2913.2,,,19.48,29.75,2729.3,,,19.49,29.99,2260.1,,,19.78,30.23,2530.4,,,19.7,29.75,2835.1,,,19.69,29.79,2890.9,,,19.58,29.6,2314.8,19166,34271,20.07,30.06,1777.4,23283,37209,19.69,29.84,2414.6,25155,46175,19.6,29.64,2271.2,29465,52296,19.94,30.3,1863,27807,56151,20.15,30.13,2498.7,29333,70609,19.58,29.82,1758.3,29761,65019,19.54,29.81,2321.3,29588,68668,19.83,29.81,1682.6,29228,69552,19.77,29.72,2171.9,29210,64756
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,120705,118729,19.84,29.7,3072.9,111884,154152,19.53,29.81,2913.2,114470,170444,19.48,29.75,2729.3,125748,183668,19.49,29.99,2260.1,124842,175464,19.78,30.23,2530.4,125952,188414,19.7,29.75,2835.1,131919,181777,19.69,29.79,2890.9,129252,183808,19.58,29.6,2314.8,127208,185275,20.07,30.06,1777.4,124173,179458,19.69,29.84,2414.6,122706,190463,19.6,29.64,2271.2,125897,189298,19.94,30.3,1863,124513,250017,20.15,30.13,2498.7,126100,237248,19.58,29.82,1758.3,121565,174402,19.54,29.81,2321.3,128421,199171,19.83,29.81,1682.6,130200,219917,19.77,29.72,2171.9,127996,218189
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,73404,82979,19.84,29.7,3072.9,74953,117878,19.53,29.81,2913.2,74000,123739,19.48,29.75,2729.3,67800,145266,19.49,29.99,2260.1,72691,161833,19.78,30.23,2530.4,77655,168870,19.7,29.75,2835.1,72400,137489,19.69,29.79,2890.9,74009,136608,19.58,29.6,2314.8,75350,120498,20.07,30.06,1777.4,74126,143435,19.69,29.84,2414.6,76431,118750,19.6,29.64,2271.2,76311,180718,19.94,30.3,1863,75665,176365,20.15,30.13,2498.7,73574,150587,19.58,29.82,1758.3,74435,199742,19.54,29.81,2321.3,78645,153301,19.83,29.81,1682.6,77499,153970,19.77,29.72,2171.9,77402,143230
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,92165,64244,19.84,29.7,3072.9,95290,98005,19.53,29.81,2913.2,99616,110494,19.48,29.75,2729.3,95989,109606,19.49,29.99,2260.1,91022,98743,19.78,30.23,2530.4,91977,121970,19.7,29.75,2835.1,95358,119328,19.69,29.79,2890.9,88999,107991,19.58,29.6,2314.8,109808,130563,20.07,30.06,1777.4,98207,112686,19.69,29.84,2414.6,108479,131035,19.6,29.64,2271.2,93805,112131,19.94,30.3,1863,103016,158273,20.15,30.13,2498.7,109423,192738,19.58,29.82,1758.3,106067,185448,19.54,29.81,2321.3,109450,181125,19.83,29.81,1682.6,109489,223102,19.77,29.72,2171.9,108382,212989
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.21,29.05,2588.5,107384,88370,19.84,29.7,3072.9,101022,101133,19.53,29.81,2913.2,124398,137582,19.48,29.75,2729.3,129373,132546,19.49,29.99,2260.1,119173,120949,19.78,30.23,2530.4,120105,109176,19.7,29.75,2835.1,114160,109904,19.69,29.79,2890.9,118427,129874,19.58,29.6,2314.8,121399,126269,20.07,30.06,1777.4,121815,84095,19.69,29.84,2414.6,121644,91760,19.6,29.64,2271.2,123588,74626,19.94,30.3,1863,135774,177271,20.15,30.13,2498.7,140562,246414,19.58,29.82,1758.3,150564,260526,19.54,29.81,2321.3,145301,311093,19.83,29.81,1682.6,141100,260565,19.77,29.72,2171.9,124166,260743
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.21,29.05,2588.5,98010,92795,19.84,29.7,3072.9,110500,169555,19.53,29.81,2913.2,114600,221539,19.48,29.75,2729.3,104000,206600,19.49,29.99,2260.1,91065,154450,19.78,30.23,2530.4,88270,137698,19.7,29.75,2835.1,83450,123828,19.69,29.79,2890.9,73000,104407,19.58,29.6,2314.8,58500,89200,20.07,30.06,1777.4,74181,92710,19.69,29.84,2414.6,84027,114692,19.6,29.64,2271.2,76726,140362,19.94,30.3,1863,78395,153250,20.15,30.13,2498.7,90001,191079,19.58,29.82,1758.3,89997,205997,19.54,29.81,2321.3,81204,195093,19.83,29.81,1682.6,90115,248499,19.77,29.72,2171.9,89922,214226
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.21,29.05,2588.5,228292,235423,19.84,29.7,3072.9,241537,384470,19.53,29.81,2913.2,247643,457275,19.48,29.75,2729.3,248042,444938,19.49,29.99,2260.1,231956,413972,19.78,30.23,2530.4,251279,430280,19.7,29.75,2835.1,252725,453257,19.69,29.79,2890.9,228438,400282,19.58,29.6,2314.8,213682,338746,20.07,30.06,1777.4,169298,271673,19.69,29.84,2414.6,192612,316760,19.6,29.64,2271.2,195199,313826,19.94,30.3,1863,181859,380893,20.15,30.13,2498.7,184147,352779,19.58,29.82,1758.3,192092,324203,19.54,29.81,2321.3,178355,369528,19.83,29.81,1682.6,196651,436123,19.77,29.72,2171.9,201733,410571
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.21,29.05,2588.5,147780,114275,19.84,29.7,3072.9,143482,140717,19.53,29.81,2913.2,146817,174952,19.48,29.75,2729.3,155087,172795,19.49,29.99,2260.1,156675,180285,19.78,30.23,2530.4,145605,174432,19.7,29.75,2835.1,147600,185381,19.69,29.79,2890.9,141400,168372,19.58,29.6,2314.8,81256,104967,20.07,30.06,1777.4,81567,108034,19.69,29.84,2414.6,80500,130048,19.6,29.64,2271.2,80350,138973,19.94,30.3,1863,76679,131374,20.15,30.13,2498.7,76092,166991,19.58,29.82,1758.3,79725,140956,19.54,29.81,2321.3,81062,169112,19.83,29.81,1682.6,77930,153374,19.77,29.72,2171.9,76375,184445
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.21,29.05,2588.5,104703,105448,19.84,29.7,3072.9,89942,147918,19.53,29.81,2913.2,97980,177702,19.48,29.75,2729.3,99899,187322,19.49,29.99,2260.1,99552,201683,19.78,30.23,2530.4,99852,187938,19.7,29.75,2835.1,99447,222110,19.69,29.79,2890.9,100262,223761,19.58,29.6,2314.8,101291,185547,20.07,30.06,1777.4,97173,145336,19.69,29.84,2414.6,93494,158252,19.6,29.64,2271.2,106410,259636,19.94,30.3,1863,101637,238707,20.15,30.13,2498.7,93178,222519,19.58,29.82,1758.3,97094,214215,19.54,29.81,2321.3,95836,237046,19.83,29.81,1682.6,96532,207244,19.77,29.72,2171.9,97859,206090
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.21,29.05,2588.5,153117,154507,19.84,29.7,3072.9,143506,188073,19.53,29.81,2913.2,159591,220524,19.48,29.75,2729.3,168710,226285,19.49,29.99,2260.1,142238,171605,19.78,30.23,2530.4,163645,214128,19.7,29.75,2835.1,169963,250048,19.69,29.79,2890.9,168725,235877,19.58,29.6,2314.8,169266,236669,20.07,30.06,1777.4,127270,129563,19.69,29.84,2414.6,167078,220042,19.6,29.64,2271.2,173384,252950,19.94,30.3,1863,156238,241466,20.15,30.13,2498.7,168275,359567,19.58,29.82,1758.3,172915,309727,19.54,29.81,2321.3,162954,349919,19.83,29.81,1682.6,166054,340728,19.77,29.72,2171.9,173087,380946
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.21,29.05,2588.5,63356,50772,19.84,29.7,3072.9,65088,98875,19.53,29.81,2913.2,68802,99881,19.48,29.75,2729.3,68676,99464,19.49,29.99,2260.1,64920,110072,19.78,30.23,2530.4,66660,81171,19.7,29.75,2835.1,68610,95319,19.69,29.79,2890.9,61180,90480,19.58,29.6,2314.8,59284,79908,20.07,30.06,1777.4,60437,75723,19.69,29.84,2414.6,62873,86936,19.6,29.64,2271.2,65730,92736,19.94,30.3,1863,66473,95041,20.15,30.13,2498.7,64630,128576,19.58,29.82,1758.3,64642,118024,19.54,29.81,2321.3,59059,95651,19.83,29.81,1682.6,62321,105835,19.77,29.72,2171.9,63513,105543
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.21,29.05,2588.5,,,19.84,29.7,3072.9,,,19.53,29.81,2913.2,,,19.48,29.75,2729.3,,,19.49,29.99,2260.1,,,19.78,30.23,2530.4,,,19.7,29.75,2835.1,,,19.69,29.79,2890.9,,,19.58,29.6,2314.8,77741,88443,20.07,30.06,1777.4,79552,64196,19.69,29.84,2414.6,72964,91186,19.6,29.64,2271.2,88265,110930,19.94,30.3,1863,88908,97370,20.15,30.13,2498.7,94814,122194,19.58,29.82,1758.3,95639,134110,19.54,29.81,2321.3,93017,161003,19.83,29.81,1682.6,90619,130856,19.77,29.72,2171.9,94657,165220
